term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.230670555752783,0.03416674772236768,6.751317322537307,1.0466409117275615e-10,Model B Full
total_mis,1.3716001933113871e-9,6.10253270000921e-9,0.22475917143538077,0.8223532101387945,Model B Full
prior_season_points_pct,-0.41985429523254464,0.052257317806274683,-8.034363661545054,3.92081981628214e-14,Model B Full
season_typecovid_shortened,0.005379846543310964,0.021596726076681328,0.2491047265316642,0.8034876312249273,Model B Full
season_typestandard,5.979775850054683e-4,0.01858980563640118,0.032166962726848145,0.9743649854580108,Model B Full
cap_ceiling_change,-2.502015456864096e-10,2.6046918778537634e-9,-0.09605802045675085,0.9235526979965327,Model B Full
