signing_team,season_year,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,offseason_data_pending
EDM,2020,1,3,3,11,0.2727272727272727,TRUE,FALSE
FLA,2020,4,2,2,9,0.2222222222222222,TRUE,FALSE
LAK,2020,1,2,0,3,0,FALSE,FALSE
MIN,2020,2,1,2,5,0.4,TRUE,FALSE
MTL,2020,2,1,3,6,0.5,TRUE,FALSE
NJD,2020,1,1,2,5,0.4,TRUE,FALSE
NSH,2020,1,3,5,10,0.5,TRUE,FALSE
NYI,2020,0,0,1,4,0.25,TRUE,FALSE
NYR,2020,2,1,2,5,0.4,TRUE,FALSE
OTT,2020,1,1,3,6,0.5,TRUE,FALSE
PHI,2020,0,0,2,2,1,TRUE,FALSE
PIT,2020,0,3,4,7,0.5714285714285714,TRUE,FALSE
SJS,2020,0,2,4,7,0.5714285714285714,TRUE,FALSE
STL,2020,2,1,4,7,0.5714285714285714,TRUE,FALSE
TBL,2020,0,1,0,4,0,FALSE,FALSE
TOR,2020,5,1,4,10,0.4,TRUE,FALSE
VAN,2020,1,0,2,4,0.5,TRUE,FALSE
VGK,2020,2,1,0,4,0,FALSE,FALSE
WPG,2020,0,4,5,11,0.45454545454545453,TRUE,FALSE
WSH,2020,0,0,0,0,0,FALSE,FALSE
ANA,2021,2,2,0,5,0,FALSE,FALSE
ARI,2021,0,5,3,9,0.3333333333333333,TRUE,FALSE
BOS,2021,2,3,5,11,0.45454545454545453,TRUE,FALSE
BUF,2021,3,5,2,12,0.16666666666666666,TRUE,FALSE
CAR,2021,1,5,8,15,0.5333333333333333,TRUE,FALSE
CBJ,2021,0,1,2,3,0.6666666666666666,TRUE,FALSE
CGY,2021,3,1,6,11,0.5454545454545454,TRUE,FALSE
CHI,2021,0,1,2,3,0.6666666666666666,TRUE,FALSE
COL,2021,1,0,5,6,0.8333333333333334,TRUE,FALSE
DAL,2021,6,1,2,9,0.2222222222222222,TRUE,FALSE
DET,2021,4,0,2,7,0.2857142857142857,TRUE,FALSE
EDM,2021,4,1,3,9,0.3333333333333333,TRUE,FALSE
FLA,2021,3,0,0,3,0,FALSE,FALSE
LAK,2021,0,2,1,3,0.3333333333333333,TRUE,FALSE
MIN,2021,1,3,4,8,0.5,TRUE,FALSE
MTL,2021,1,0,7,8,0.875,TRUE,FALSE
NJD,2021,0,1,5,6,0.8333333333333334,TRUE,FALSE
NSH,2021,0,1,2,4,0.5,TRUE,FALSE
NYI,2021,1,1,0,5,0,FALSE,FALSE
NYR,2021,2,1,0,3,0,FALSE,FALSE
OTT,2021,4,1,2,7,0.2857142857142857,TRUE,FALSE
PHI,2021,0,3,3,6,0.5,TRUE,FALSE
PIT,2021,0,2,4,7,0.5714285714285714,TRUE,FALSE
SJS,2021,0,1,5,7,0.7142857142857143,TRUE,FALSE
STL,2021,0,3,3,7,0.42857142857142855,TRUE,FALSE
TBL,2021,3,3,2,8,0.25,TRUE,FALSE
TOR,2021,1,3,6,10,0.6,TRUE,FALSE
VAN,2021,3,0,9,15,0.6,TRUE,FALSE
VGK,2021,0,3,1,7,0.14285714285714285,TRUE,FALSE
WPG,2021,2,1,4,7,0.5714285714285714,TRUE,FALSE
WSH,2021,0,0,0,0,0,FALSE,FALSE
ANA,2022,3,1,8,12,0.6666666666666666,TRUE,FALSE
ARI,2022,1,1,3,5,0.6,TRUE,FALSE
BOS,2022,1,2,2,7,0.2857142857142857,TRUE,FALSE
BUF,2022,2,0,3,6,0.5,TRUE,FALSE
CAR,2022,0,2,6,9,0.6666666666666666,TRUE,FALSE
CBJ,2022,1,0,2,3,0.6666666666666666,TRUE,FALSE
CGY,2022,1,2,2,12,0.16666666666666666,TRUE,FALSE
CHI,2022,2,4,4,10,0.4,TRUE,FALSE
COL,2022,2,1,5,8,0.625,TRUE,FALSE
DAL,2022,0,0,4,4,1,TRUE,FALSE
DET,2022,3,2,5,10,0.5,TRUE,FALSE
EDM,2022,2,1,2,6,0.3333333333333333,TRUE,FALSE
FLA,2022,4,2,4,11,0.36363636363636365,TRUE,FALSE
LAK,2022,0,0,1,2,0.5,TRUE,FALSE
MIN,2022,0,3,1,5,0.2,TRUE,FALSE
MTL,2022,2,0,1,4,0.25,TRUE,FALSE
NJD,2022,2,1,2,6,0.3333333333333333,TRUE,FALSE
NSH,2022,4,1,2,7,0.2857142857142857,TRUE,FALSE
