season_year,teamTriCode,teamCommonName,conferenceAbbrev,divisionAbbrev,gamesPlayed,wins,losses,otLosses,points,goalFor,goalAgainst,goalDifferential,points_percentage,season_type,prior_season_year,total_mis,total_aav_spent,signing_count,signing_count_tier1,signing_count_tier2,signing_count_tier3,signing_count_tier4,has_goalie_signing,offseason_data_pending,total_aav_committed,total_contract_value,signing_count_cap,cap_ceiling,cap_ceiling_change,cap_spending_pct,near_cap_floor,heavy_spender,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,net_total_aav_committed,total_aav_lost,net_aav,mean_contract_years,max_contract_years,count_long_term,weighted_avg_years,total_ufa_decisions,count_re_signed,count_new_signings,pct_retained,aav_retained,aav_new,pct_aav_retained,no_ufa_activity,prior_season_points_pct,mis_index
2018,MIN,Wild,W,C,82,45,26,11,101,253,232,21,0.615854,standard,2017,659501.95,3963311,8,1,1,1,3,TRUE,FALSE,3963311,7025000,8,79500000,4500000,0.04985296855345911,TRUE,FALSE,2,4,2,8,0.25,TRUE,3963311,3900000,63311,1.25,2,0,1.3437782197763437,8,0,8,0,0,3963311,0,FALSE,0.646341,27.1
2018,MTL,Canadiens,E,A,82,29,40,13,71,209,264,-55,0.432927,standard,2017,845282,4226410,5,0,1,3,1,FALSE,FALSE,4226410,7600000,5,79500000,4500000,0.05316238993710692,FALSE,FALSE,4,0,1,5,0.2,TRUE,4226410,2725000,1501410,1.4,2,0,1.4672996704058527,5,0,5,0,0,4226410,0,FALSE,0.628049,34.7
2018,NJD,Devils,E,M,82,44,29,9,97,248,244,4,0.591463,standard,2017,357676.25,1950705,4,0,2,0,2,FALSE,FALSE,1950705,2650000,4,79500000,4500000,0.02453716981132075,TRUE,FALSE,0,1,3,5,0.6,TRUE,1950705,13650000,-11699295,1,1,0,1,5,1,4,0.2,810000,1950705,0.2934033154574647,FALSE,0.426829,14.7
2018,NSH,Predators,W,C,82,53,18,11,117,267,211,56,0.713415,standard,2017,702500,3200000,4,0,2,1,1,FALSE,FALSE,3200000,4450000,4,79500000,4500000,0.04025157232704402,TRUE,FALSE,2,0,2,4,0.5,TRUE,3200000,1300000,1900000,1.25,2,0,1.390625,4,0,4,0,0,3200000,0,FALSE,0.573171,28.9
2018,NYI,Islanders,E,M,82,35,37,10,80,264,296,-32,0.487805,standard,2017,1648916.95,7076011,7,1,1,2,3,TRUE,FALSE,7076011,20450000,7,79500000,4500000,0.08900642767295598,FALSE,FALSE,2,4,1,10,0.1,TRUE,7076011,9200001.107,-2123990.107000001,1.5714285714285714,4,0,1.0955224631504954,10,3,7,0.3,3900000,7076011,0.35532034361117165,FALSE,0.573171,67.8
2018,NYR,Rangers,E,M,82,34,39,9,77,231,268,-37,0.469512,standard,2017,227676.25,650705,2,1,1,0,0,TRUE,FALSE,650705,1350000,2,79500000,4500000,0.00818496855345912,TRUE,FALSE,1,1,0,3,0,FALSE,650705,650705,0,1,1,0,1,3,1,2,0.3333333333333333,750000,650705,0.5354446510864171,FALSE,0.621951,9.4
2018,OTT,Senators,E,A,82,28,43,11,67,221,291,-70,0.408537,standard,2017,260387.75,1301410,4,1,0,3,0,TRUE,FALSE,1301410,2700000,4,79500000,4500000,0.01636993710691824,TRUE,FALSE,1,2,1,4,0.25,TRUE,1301410,705,1300705,1,1,0,1,4,0,4,0,0,1301410,0,FALSE,0.597561,10.7
2018,PHI,Flyers,E,M,82,42,26,14,98,251,243,8,0.597561,standard,2017,307.15,1511,2,0,1,0,1,FALSE,FALSE,1511,35800000,2,79500000,4500000,1.90062893081761e-5,TRUE,FALSE,0,1,1,2,0.5,TRUE,1511,9100000,-9098489,3,5,1,2.8689609530112508,2,0,2,0,0,1511,0,FALSE,0.536585,0
2018,PIT,Penguins,E,M,82,47,29,6,100,272,250,22,0.609756,standard,2017,1365000,5850000,5,1,1,1,2,TRUE,FALSE,5850000,18850000,5,79500000,4500000,0.07358490566037736,FALSE,FALSE,3,0,2,6,0.3333333333333333,TRUE,5850000,3084038,2765962,1.8,5,1,3.2222222222222223,6,1,5,0.16666666666666666,650000,5850000,0.1,FALSE,0.676829,56.1
2018,SJS,Sharks,W,P,82,45,27,10,100,252,229,23,0.609756,standard,2017,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,79500000,4500000,0,TRUE,FALSE,0,0,0,2,0,FALSE,0,106,-106,0,0,0,0,2,2,0,1,1411,0,1,FALSE,0.603659,0
