term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.23148168972330793,0.034148295874119015,6.778718638746124,8.922903927910783e-11,Model B Full
total_mis,1.2557626142016528e-9,6.099237010052763e-9,0.20588847623594636,0.8370483111871087,Model B Full
prior_season_points_pct,-0.4210462046036309,0.052229096094747476,-8.061525779420377,3.2893367148905125e-14,Model B Full
season_typecovid_shortened,0.005314963625659235,0.021585062703992977,0.24623341143577177,0.8057068858677512,Model B Full
season_typestandard,6.354823697838688e-4,0.018579766159557722,0.03420292614699926,0.972743068930875,Model B Full
cap_ceiling_change,-2.7832417019656773e-10,2.603285206675833e-9,-0.10691266922380868,0.914945399588252,Model B Full
