season_year,within_division_mean,cross_division_mean,cross_conference_mean,signing_count_total,top_ranked_category
2018,-0.06910555555555555,-0.0034812222222222336,0.008205210256410259,131,cross_conference
2019,-0.007258952380952384,0.00369047368421052,-0.009956784810126577,159,cross_division_same_conference
2020,7.839166666666558e-4,-7.915151515151189e-5,-0.006907357142857146,153,within_division
2021,0.0020190851063829835,-0.011745296296296297,-0.004230622448979591,199,within_division
2022,0.006380667810569658,-0.004092663082437281,6.059029095509119e-4,194,within_division
2023,0.009358976744186063,0.02576698387096775,-0.01101114563106795,208,cross_division_same_conference
2024,-0.019362403508771945,-0.005226551020408177,-0.025510306122448995,204,cross_division_same_conference
2025,-0.008644297297297281,0.0015027200000000207,-0.005681864864864849,161,cross_division_same_conference
