term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.2554512951953782,0.041078592475212734,6.218599026963259,3.2868950948529294e-9,Model D Restricted
total_mis,8.210582515893098e-10,7.107912188148333e-9,0.11551328011034445,0.9081642609716648,Model D Restricted
mean_contract_years,-0.0012067356193453517,0.011840862070603947,-0.10191281784636157,0.9189368504514999,Model D Restricted
count_long_term,-0.006349764767065313,0.014165261555921054,-0.4482631501012505,0.6544906821415415,Model D Restricted
prior_season_points_pct,-0.45489846975477166,0.058821497158840955,-7.733541166529111,6.638334917766408e-13,Model D Restricted
cap_ceiling_change,-4.22591094917086e-10,2.6512420307732974e-9,-0.15939363136673995,0.8735335837557295,Model D Restricted
