term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.25475474173132673,0.03493107744008412,7.293068533837737,8.45513574081953e-12,Model B Restricted
total_mis,-2.7007636172488016e-10,6.87912237969638e-9,-0.039260293220252374,0.968724971226493,Model B Restricted
prior_season_points_pct,-0.45860134999935054,0.057526458152014535,-7.972007398534593,1.5334671756543268e-13,Model B Restricted
cap_ceiling_change,-3.068570975962911e-10,2.6243305347227776e-9,-0.11692776254219292,0.9070434562926585,Model B Restricted
