term,estimate,std_error,statistic,p_value,conf_low,conf_high
(Intercept),0.24250205867642072,0.03067739309760788,7.904910886816201,8.690129583009497e-14,0.1820818019675864,0.30292231538525505
pct_cross_conference,-0.02108959284288873,0.0207685579296747,-1.0154577373306852,0.31087335428193247,-0.06199403337310738,0.019814847687329926
prior_season_points_pct,-0.42180266449347104,0.05174444569644901,-8.15165103841121,1.7596722346693004e-14,-0.5237152579882414,-0.31989007099870065
