term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.23842723839091295,0.03384351909636432,7.044989550644167,1.852902203071118e-11,Model A Full
total_aav_spent,-5.770519634851211e-10,9.90432674141736e-10,-0.5826261375970538,0.5606786534226103,Model A Full
prior_season_points_pct,-0.4231362781410216,0.052138931378456654,-8.115553329423582,2.3172970424774564e-14,Model A Full
season_typecovid_shortened,0.002660928220837314,0.021620280129381508,0.12307556631614446,0.9021477516687236,Model A Full
season_typestandard,4.796429891659942e-5,0.018558977308228954,0.002584425753639577,0.9979400234279496,Model A Full
cap_ceiling_change,-3.722183390860976e-10,2.605146780996155e-9,-0.14287806806178072,0.8865034377795793,Model A Full
