term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.23518066955597236,0.039256119642349034,5.9909301199057445,7.4368623813863516e-9,Model D Full
total_mis,2.434879205424911e-9,6.299444018025389e-9,0.3865228738373872,0.6994463201464216,Model D Full
mean_contract_years,-0.0033194218291003235,0.01067607523171826,-0.3109215472028928,0.7561257147911128,Model D Full
count_long_term,-0.004907630518499216,0.012578698572130455,-0.39015407598466767,0.6967629907694617,Model D Full
prior_season_points_pct,-0.41830080110313456,0.05318497888674987,-7.865017714754552,1.191803574661565e-13,Model D Full
season_typecovid_shortened,0.004167566584781605,0.021697036209368102,0.19207999399393455,0.8478393047892481,Model D Full
season_typestandard,0.0010487240244597047,0.01865765870813004,0.05620876878848283,0.9552214953261299,Model D Full
cap_ceiling_change,-3.599581179435102e-10,2.6231838702861037e-9,-0.1372218402304565,0.8909686099587212,Model D Full
