term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.2879273669555737,0.036628359107154035,7.8607771129812205,3.2390039018759537e-13,Model F Restricted
net_aav,-4.628700336441708e-9,8.798378844916004e-10,-5.260855912241521,4.000660123779237e-7,Model F Restricted
mean_contract_years,0.006740736939029177,0.009205926851524158,0.7322170866383935,0.4649779419686786,Model F Restricted
pct_retained,0.0335496136492884,0.03298488275545867,1.0171209004445005,0.31044611188149013,Model F Restricted
prior_season_points_pct,-0.5426815536478423,0.05538596058011504,-9.798178960223337,1.801479008130902e-18,Model F Restricted
cap_ceiling_change,-6.533377827220586e-10,2.435345724389882e-9,-0.2682731146460681,0.7887929243607633,Model F Restricted
