term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.26053501429101006,0.03491283983374306,7.462441197327192,3.1616887257597045e-12,Model A Restricted
total_aav_spent,-7.729073966901138e-10,1.0980279668948126e-9,-0.70390501880919365,0.48237221220424575,Model A Restricted
prior_season_points_pct,-0.46038422400296475,0.057485332251557913,-8.008725112491419,1.228541707239319e-13,Model A Restricted
cap_ceiling_change,-4.162988092042653e-10,2.625039015032614e-9,-0.15858766548621872,0.8741658008679452,Model A Restricted
