term,estimate,std.error,statistic,p.value,model_name
(Intercept),0.2512548942617872,0.03551682188075628,7.074250480669334,3.0866724894549066e-11,Model E Restricted
total_mis,7.176890396232485e-10,7.0074497618980805e-9,0.10241800712230163,0.9185370306672318,Model E Restricted
pct_retained,0.059315523453973874,0.03514256181545577,1.6878542823786622,0.09314272616640827,Model E Restricted
prior_season_points_pct,-0.4653432478972748,0.05726259825415,-8.12647805172812,6.423630528600032e-14,Model E Restricted
cap_ceiling_change,-4.794834591637296e-10,2.6105266553031304e-9,-0.18367307538871028,0.8544732861407297,Model E Restricted
